WellID,Stage,model,mean_Do_x,mean_Do_y,mean_Do_z,sd_Do_x,sd_Do_y,sd_Do_z,hdi_3%_Do_x,hdi_3%_Do_y,hdi_3%_Do_z,hdi_97%_Do_x,hdi_97%_Do_y,hdi_97%_Do_z
1,9,nonlinear,1.104,4.669,0.125,0.106,0.058,0.013,0.902,4.545,0.099,1.272,4.773,0.151
1,10,linear,6.042,2.714,2.068,0.061,0.022,0.028,5.949,2.672,2.021,6.164,2.757,2.12
1,10,nonlinear,1.186,2.714,0.655,0.123,0.022,0.068,0.956,2.674,0.529,1.378,2.758,0.759
1,11,linear,3.646,8.235,6.292,0.044,0.049,0.037,3.566,8.129,6.219,3.72,8.315,6.358
1,11,nonlinear,1.059,8.235,1.852,0.114,0.048,0.199,0.841,8.129,1.47,1.241,8.312,2.168
1,12,linear,5.23,8.91,4.956,0.034,0.063,0.075,5.159,8.791,4.789,5.294,9.033,5.087
1,12,nonlinear,1.42,8.909,1.285,0.153,0.064,0.138,1.138,8.791,1.032,1.669,9.032,1.509
1,13,linear,0.788,0.479,0.548,0.016,0.009,0.007,0.764,0.466,0.538,0.821,0.498,0.562
1,13,nonlinear,0.275,0.479,0.364,0.027,0.009,0.035,0.223,0.466,0.3,0.317,0.496,0.418
1,14,linear,3.905,0.703,1.426,0.078,0.019,0.023,3.757,0.668,1.387,4.064,0.736,1.472
1,14,nonlinear,0.231,0.704,0.229,0.022,0.019,0.025,0.19,0.668,0.183,0.27,0.737,0.279
1,15,linear,13.779,4.366,9.732,0.257,0.061,0.181,13.283,4.265,9.364,14.277,4.487,10.026
1,15,nonlinear,4.494,4.363,2.474,0.783,0.059,0.43,3.031,4.269,1.657,5.785,4.489,3.166
1,16,linear,12.959,5.353,10.756,0.082,0.143,0.134,12.808,5.079,10.554,13.096,5.652,11.011
1,16,nonlinear,2.411,5.358,2.623,0.355,0.148,0.37,1.725,5.073,1.915,3.026,5.659,3.205
1,17,linear,0.741,0.147,1.041,0.006,0.002,0.007,0.729,0.143,1.029,0.754,0.151,1.054
1,17,nonlinear,0.181,0.147,0.388,0.016,0.002,0.033,0.151,0.143,0.327,0.205,0.151,0.442
1,18,linear,6.81,1.79,6.737,0.116,0.045,0.064,6.582,1.713,6.614,7.021,1.869,6.856
1,18,nonlinear,0.813,1.79,1.265,0.087,0.045,0.135,0.646,1.71,1.002,0.961,1.867,1.479
1,19,linear,5.451,2.049,6.795,0.063,0.042,0.059,5.356,1.972,6.688,5.575,2.127,6.918
1,19,nonlinear,2.117,2.05,1.819,0.274,0.042,0.235,1.636,1.977,1.406,2.55,2.134,2.184
1,20,linear,11.679,1.442,4.774,0.055,0.024,0.076,11.575,1.401,4.641,11.783,1.485,4.914
1,20,nonlinear,4.334,1.442,1.632,0.595,0.024,0.224,3.252,1.4,1.208,5.309,1.486,1.995
3,1,linear,0.071,0.007,0.025,0.007,0.001,0.002,0.056,0.005,0.022,0.083,0.009,0.03
3,1,nonlinear,0.01,0.007,0.014,0.002,0.001,0.002,0.006,0.005,0.011,0.013,0.009,0.017
3,2,linear,0.057,0.023,0.053,0.004,0.004,0.005,0.048,0.016,0.047,0.065,0.03,0.063
3,2,nonlinear,0.01,0.023,0.028,0.002,0.004,0.004,0.007,0.016,0.021,0.013,0.031,0.035
3,3,linear,0.106,0.014,0.101,0.009,0.003,0.006,0.091,0.011,0.09,0.125,0.02,0.113
3,3,nonlinear,0.041,0.014,0.043,0.004,0.003,0.005,0.032,0.011,0.034,0.05,0.019,0.053
3,4,linear,0.85,0.132,0.057,0.037,0.006,0.004,0.781,0.122,0.049,0.924,0.144,0.066
3,4,nonlinear,0.198,0.132,0.021,0.019,0.005,0.002,0.161,0.122,0.016,0.23,0.144,0.025
3,5,linear,16.702,0.31,4.266,0.962,0.011,0.056,15.131,0.287,4.164,18.236,0.326,4.369
3,5,nonlinear,6.844,0.309,1.854,1.277,0.011,0.346,4.475,0.288,1.226,8.885,0.327,2.422
3,6,linear,27.729,0.529,4.566,1.334,0.056,0.373,25.042,0.409,4.098,29.408,0.627,5.295
3,6,nonlinear,6.062,0.53,1.829,1.119,0.057,0.335,3.98,0.414,1.221,7.872,0.631,2.376
3,7,linear,10.292,0.423,2.336,0.255,0.022,0.036,9.772,0.38,2.268,10.651,0.46,2.4
3,7,nonlinear,2.822,0.421,0.791,0.296,0.023,0.083,2.242,0.378,0.638,3.288,0.459,0.93
3,8,linear,2.846,0.036,0.615,0.05,0.001,0.01,2.755,0.034,0.599,2.921,0.038,0.633
3,8,nonlinear,0.713,0.036,0.236,0.066,0.001,0.022,0.593,0.034,0.196,0.822,0.038,0.271
3,9,linear,0.952,0.032,0.423,0.017,0.001,0.005,0.928,0.03,0.413,0.987,0.033,0.433
3,9,nonlinear,0.397,0.032,0.206,0.037,0.001,0.019,0.323,0.03,0.168,0.452,0.033,0.236
3,10,linear,4.137,0.131,2.398,0.023,0.004,0.021,4.095,0.123,2.362,4.18,0.139,2.444
3,10,nonlinear,3.179,0.131,1.607,0.386,0.004,0.195,2.432,0.124,1.23,3.794,0.14,1.918
3,11,linear,3.473,0.172,1.961,0.044,0.006,0.025,3.406,0.162,1.915,3.566,0.183,2.007
3,11,nonlinear,2.569,0.172,1.199,0.312,0.006,0.145,2.009,0.162,0.925,3.067,0.183,1.426
3,12,linear,4.664,0.257,1.63,0.319,0.014,0.075,4.089,0.226,1.497,5.132,0.28,1.743
3,12,nonlinear,1.378,0.258,0.567,0.147,0.014,0.061,1.109,0.228,0.457,1.607,0.28,0.661
3,13,linear,2.059,0.162,1.297,0.045,0.006,0.02,1.989,0.149,1.256,2.146,0.171,1.335
3,13,nonlinear,0.042,0.162,0.014,0.004,0.006,0.001,0.034,0.15,0.011,0.05,0.171,0.016
